Symbol,Name,LastSale,NetChange,%Change,MarketCap,Country,IPOYear,Volume,Sector,Industry
DIXON.NS,DrLalPathLab,1903.9,0.28,15875.46,India,362211,Pharmaceuticals
LALPATHLAB.NS,DrReddysLabs,4909.35,-0.06,81754.36,India,384187,Pharmaceuticals
DRREDDY.NS,EasyTrip,44.75,-0.67,7778.98,India,2816045,TravelServices
EIDPARRY.NS,eClerxServices,1288.25,-0.03,6536.53,India,80349,Computers-SoftwareMedium&Small
EIHOTEL.NS,Edelweiss,56.15,-1.66,5296.49,India,656788,Finance-General
EPL.NS,EicherMotors,3289.6,0.8,89964.5,India,646164,Auto-LCVs&HCVs
EASEMYTRIP.NS,EIDParry,511.4,1.43,9078.25,India,160840,Sugar
EDELWEISS.NS,EIH,169.55,-1.85,10603.05,India,750549,Hotels
EICHERMOT.NS,ElgiEquipments,505.85,6.36,16030.84,India,1123284,Compressors
ELGIEQUIP.NS,Emami,363.7,0.46,16044.63,India,218144,PersonalCare
EMAMILTD.NS,EnduranceTechn,1245.25,-1.96,17516.04,India,229142,Auto-2&3Wheelers
ENDURANCE.NS,EngineersIndia,78.1,0.64,4389.55,India,1395273,Engineering
ENGINERSIN.NS,EPL,163.55,0.62,5204.32,India,202381,Packaging
EQUITASBNK.NS,EquitasBank,69.7,-2.04,7744.87,India,2501480,Bank-Private
ESCORTS.NS,EscortsKubota,1990.3,0.56,26260.14,India,326510,Automobile-Tractors
EXIDEIND.NS,ExideInd,188.1,0.64,15988.5,India,2717270,AutoAncillaries
FDC.NS,FDC,266.8,1.44,4426.48,India,54451,Pharmaceuticals
NYKAA.NS,FederalBank,131.7,0.04,27870.48,India,4628203,Banks-PrivateSector
FEDERALBNK.NS,FertandChem,328.95,-0.48,21285.43,India,2383746,Fertilisers
FACT.NS,FineOrganics,4456.45,-1.48,13663.47,India,16952,Miscellaneous
FINEORG.NS,FinolexCables,866.2,1.33,13247.61,India,666890,Cables-Telephone
FINCABLES.NS,FinolexInd,166.3,-1.28,10318.53,India,226193,Petrochemicals
FINPIPE.NS,FirstsourceSol,113.65,1.43,7928.34,India,1124700,Computers-SoftwareMedium&Small
FSL.NS,FortisHealth,267.25,0.96,20176.26,India,385066,Hospitals&MedicalServices
FIVESTAR.NS,FSNE-CoNykaa,124.25,-1.04,35441.65,India,4996026,Miscellaneous
FORTIS.NS,GRInfra,976.15,0.59,9438.3,India,16336,Construction-Infrastructure
GRINFRA.NS,GAIL,108.25,-1.14,71175.45,India,8205988,OilDrillingAndExploration
GAIL.NS,GalaxySurfacta,2463.9,0.11,8735.7,India,7432,Miscellaneous
GMMPFAUDLR.NS,GarwareTechnic,2840.7,-1.45,5788.83,India,9853,Textiles-General
GMRINFRA.NS,GeneralInsuran,148.3,1.3,9155.66,India,943581,Diversified
GALAXYSURF.NS,Gland,1416.95,15.05,26017.75,India,6725689,Pharmaceuticals&Drugs
GARFIBRES.NS,GlaxoSmithKline,1245.65,0.61,23337.28,India,66151,Pharmaceuticals
GICRE.NS,Glenmark,512,1.4,21102.06,India,3964015,Pharmaceuticals
GLAND.NS,GMMPfaudler,1520.3,1.37,14447.01,India,60617,Engineering-Heavy
GLAXO.NS,GMRAirports,44.35,0.11,6834.85,India,7428629,Infrastructure-General
GLENMARK.NS,GoFashion,1005.45,1.55,26769.42,India,12254,Retailing
MEDANTA.NS,GodfreyPhillip,1707.2,1.1,8301.69,India,172184,Cigarettes
GOCOLORS.NS,GodrejAgrovet,434.6,-0.34,5430.33,India,20875,Miscellaneous
GODFRYPHLP.NS,GodrejConsumer,967.85,-0.17,8876.4,India,658666,PersonalCare
GODREJAGRO.NS,GodrejInd,442,0.34,8351.31,India,252848,PersonalCare
GODREJCP.NS,GodrejProp,1292.9,-1.1,98982.32,India,404199,Construction&Contracting-RealEstate
GODREJIND.NS,GranulesIndia,304.05,1.11,14879.41,India,1787289,Pharmaceuticals
GODREJPROP.NS,GraphiteIndia,283.4,-0.96,35945.39,India,3166751,Electrodes&Graphite
GRANULES.NS,Grasim,1690.1,-0.87,7359.31,India,312026,Diversified
GRAPHITE.NS,GEShipping,641.3,-2.4,5536.94,India,247711,Shipping
GRASIM.NS,GreenpanelInd,312.5,14.03,111281.61,India,5917042,Wood&WoodProducts
